Ticker,Name,EBIT/Tot Int Exp:2024,EBIT/Tot Int Exp:2023,EBIT/Tot Int Exp:2022,EBIT/Tot Int Exp:2021,EBIT/Tot Int Exp:2020C,EBIT/Tot Int Exp:2019,EBIT/Tot Int Exp:2018,EBIT/Tot Int Exp:2017,EBIT/Tot Int Exp:2016
AIW IM Equity,ALMAWAVE SPA,8.6529,38.0259,28.3363,11.1899,2.4868,2.7364,2.8333, , 
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR, ,20.7259,26.0301,16.2836,-40.0489,-1.0167,10.2558,144.4396,65.6522
AMOD US Equity,ALPHA MODUS HOLDINGS INC,-4.9435,-3.5843, , , , , , , 
AWE LN Equity,ALPHAWAVE IP GROUP PLC,-3.4526,-2.1901,10.4869,100.0375,91.2634, , , , 
NPA/H CN Equity,ALPHINAT INC,56.6039,15.0026,7.414,4.5012,2.5929,0.938,-1.2528,2.2443,1.6398
ALC SM Equity,ALTIA CONSULTORES SA,21.5681,18.2566,29.0648,15.3538,8.624,187.7391,334.3685,288.1614,248.491
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, , , , , , , , , 
ALT LN Equity,ALTITUDE GROUP PLC,4.4524,5.0806,2.0548,-16.589,-394.1429, ,-394.1429, , 
AHIX US Equity,ALUF HOLDINGS INC, , , , ,-32.2519, , , , 
ALAMA FP Equity,AMA CORP PLC,-50.0963,-81.7677,-149.0482,-77.3252,-45.725,-40.2446, , , 
AAI PZ Equity,AMAZING AI PLC, , , , , , , , , 
AMBA US Equity,AMBARELLA INC, , , , , , , , , 
DOX US Equity,AMDOCS LTD,18.0158,28.3198,39.3115,28.1407,57.0402,145.6778,154.9591,323.3331,289.8266
AMTM US Equity,AMENTUM HOLDINGS INC, , , , , , , , , 
ADHC US Equity,AMERICAN DIVERSIFIED HOLDING, , , , , , , , , 
AGIN US Equity,AMERICAN GRAPHITE TECHNOLOGI, , , , , , , , , 
AMWK US Equity,AMERISTAR NETWORK INC, , , , , , , , , 
ATVK US Equity,AMERITEK VENTURES,1.3532, , , ,-5.8545, ,-5.8545, , 
AMT CN Equity,AMERITRUST FINANCIAL TECHNOL,-90.4634,-106.9395,-127.7195,-65.3837,-33.8779,-101.1003, , , 
AMST US Equity,AMESITE INC, ,-2609.3318,-716.7802,-2.2065,-38.8514, , , , 
AMIDO SS Equity,AMIDO AB,-31.869,-4.1705,-2.2983,-410.6827,4.787,4.787,22.1379,83.7692,8.8333
AMJT US Equity,AMJ GLOBAL TECHNOLOGY, , , , , , , , , 
AMKR US Equity,AMKOR TECHNOLOGY INC,6.7512,7.971,15.32,14.8216,7.1257,3.2572,3.2699,4.7373,3.646
AMPG US Equity,AMPLITECH GROUP INC,-28.8506,-133.6827,11.4771,-119.2688,-8.3562,1.0782,27.4655,-12.9579,30.1968
AMPL US Equity,AMPLITUDE INC-CLASS A, , , , , , , , , 
AMS SW Equity,AMS-OSRAM AG,-1.9853,-7.8111,-0.798,1.2849,1.2566,7.8178,0.387,5.9633,12.4986
ASYS US Equity,AMTECH SYSTEMS INC,-12.0808,-28.7885, , , , , , , 
ADI US Equity,ANALOG DEVICES INC,6.3086,14.4464,16.3601,9.1557,7.7507,7.4675,7.4908,4.2064,11.5834
ALY CN Equity,ANALYTIXINSIGHT INC, ,-1882.712,-1010.2732,-325.6634,-139.5475,-928.2459,-431.0046, , 
ANDI US Equity,ANDIAMO CORP, , , , , , , , , 
ANDR US Equity,ANDREA ELECTRONICS CORP, , , , , , , , , 
ANKM US Equity,ANKAM, , , , , , , , , 
