Ticker,Name,Debt/Assets:2024,Debt/Assets:2023,Debt/Assets:2022,Debt/Assets:2021,Debt/Assets:2020,Debt/Assets:2019,Debt/Assets:2018,Debt/Assets:2017,Debt/Assets:2016
AGIL SM Equity,AGILE CONTENT SA,22.1472,27.8158,29.5049,35.2789,33.3772,19.0731,41.617,50.2861,50.9386
AGILQ US Equity,AGILETHOUGHT INC, , ,38.1673,28.7854,0,0.0398, , , 
AGILC DC Equity,AGILLIC A/S,51.4914,52.8057,50.3458,49.6672,51.8969,70.2588,23.8307,46.0079,34.1307
AGYS US Equity,AGILYSYS INC,6.8179,6.8887,4.9981,7.179,9.9539,0.0348,0.1126,0.1417,0.1798
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,23.1252,20.7407,7.6126,6.5993,60.877,52.0529,23.7276, , 
AINO SS Equity,AINO HEALTH AB,0,0,3.8018,0,0, , , , 
AIRG US Equity,AIRGAIN INC,8.0486,3.6444,4.4853,4.6121,0,0,0,2.3684,4.855
IQ CN Equity,AIRIQ INC,0,0,1.185,1.9703,2.3933,0,0,0,0
AISP US Equity,AIRSHIP AI HOLDINGS INC,16.3685,0,0,0, , , , , 
AISX CN Equity,AISIX SOLUTIONS INC,31.705,15.862,13.0427,0.1294,3.2894,2.4815,0,0, 
AIXIAB SS Equity,AIXIA GROUP AB,25.7271,28.6853,20.3268,20.9052,22.1877,20.2506,31.0091,2.6606,5.2075
AIXA GR Equity,AIXTRON SE,0.5333,0.5453,0.8821,0.5442,0.5342,0.5533,0,0,0
AKAM US Equity,AKAMAI TECHNOLOGIES INC,44.6977,45.8178,38.2327,35.1278,35.7659,38.1259,28.5737,14.2595,14.6368
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,75.799,30.0584,27.8019,0.3776,31.2615,37.9883,39.1179,0,0
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,10.9799,10.9188,12.1569,20.3571,18.3167,16.1181,0,0,0
ALFIQ US Equity,ALFI INC, , , ,0,0,73.4727, , , 
ALFO IM Equity,ALFONSINO SPA,26.8208,28.6844,28.1217,7.1523,1.6761,2.2038, , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,1.9506,4.8019,19.4912,20.4288,6.0685,1.2869,4.9334,0,0.0103
ALHC US Equity,ALIGNMENT HEALTHCARE INC,42.2568,29.1451,26.6307,25.567,46.6142,71.3166, , , 
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,30.9491,31.3953,28.5756,28.9442,25.7785,11.9496,36.7991, , 
ALKT US Equity,ALKAMI TECHNOLOGY INC,4.2198,4.8164,21.2839,5.6393,9.9849,0.0209, , , 
A1OS GR Equity,ALL FOR ONE GROUP SE,34.4817,35.4633,35.5524,33.5275,33.518,15.0394,16.0011,16.1261,14.3938
ATMH US Equity,ALL THINGS MOBILE ANALYTIC, ,897.8154,21.4703, , , , , , 
ADGL US Equity,ALLDIGITAL HOLDINGS INC, , , , , , , , , 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,17.9803,3.982,3.2159,3.3437,8.3148,1.7281, , , 
AEIN GR Equity,ALLGEIER SE,45.4558,48.3925,48.7065,50.0539,31.8647,54.6524,58.5877,39.3192,45.6102
ADSV US Equity,ALLIED SECURITY INNOVATIONS, , , , , , , , , 
AIW IM Equity,ALMAWAVE SPA,1.8004,3.2807,0.9596,1.1669,34.1596,39.762,45.1279, , 
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,5.87,6.5684,7.5088,21.9428,26.03,19.0325,13.774,0.4252,0.7893
AMOD US Equity,ALPHA MODUS HOLDINGS INC,82.859,791.5056,0,0, , , , , 
AWE LN Equity,ALPHAWAVE IP GROUP PLC,34.752,27.3551,24.9221,1.3775,16.8781,29.1696, , , 
NPA/H CN Equity,ALPHINAT INC,0,22.7771,31.9272,64.8629,80.0742,64.5866,324.7706,211.0889,276.8135
ALC SM Equity,ALTIA CONSULTORES SA,13.5276,15.8926,25.8743,5.3302,13.4671,2.2767,1.9474,3.437,2.4819
ATGN US Equity,ALTIGEN COMMUNICATIONS INC, , ,3.4792,0, ,0,0, ,0
ALT LN Equity,ALTITUDE GROUP PLC,1.3177,2.7844,0,0, , ,0,0,0
AHIX US Equity,ALUF HOLDINGS INC, , , , , , , , , 
ALAMA FP Equity,AMA CORP PLC,32.7481,18.2859,16.8596,12.2989,34.0171,47.966, , , 
AMBA US Equity,AMBARELLA INC,0.8118,1.216,1.7813,1.8204,1.9261,0,0,0,0
DOX US Equity,AMDOCS LTD,12.3664,12.5639,12.9387,13.532,16.2923,0,0,0,3.7514
AMTM US Equity,AMENTUM HOLDINGS INC,39.0763,67.6046, , , , , , , 
